"post_title","post_name","ID","post_excerpt","post_content","post_status","menu_order","post_date","post_parent","comment_status","sku","downloadable","virtual","visibility","stock","stock_status","backorders","manage_stock","regular_price","sale_price","weight","length","width","height","tax_status","tax_class","upsell_ids","crosssell_ids","featured","sale_price_dates_from","sale_price_dates_to","file_path","file_paths","download_limit","download_expiry","product_url","button_text","meta:_yoast_wpseo_focuskw","meta:_yoast_wpseo_title","meta:_yoast_wpseo_metadesc","meta:_yoast_wpseo_metakeywords","images","tax:product_type","tax:product_cat","tax:product_tag","tax:product_shipping_class","meta:total_sales","attribute:pa_cap","attribute_data:pa_cap","attribute_default:pa_cap","attribute:pa_fragrance-type","attribute_data:pa_fragrance-type","attribute_default:pa_fragrance-type","attribute:pa_size","attribute_data:pa_size","attribute_default:pa_size","attribute:pa_size-g","attribute_data:pa_size-g","attribute_default:pa_size-g","attribute:pa_size-ml","attribute_data:pa_size-ml","attribute_default:pa_size-ml"
"10Kg Lotion Base","10kg-lotion-base-3","1048","","Lotion Base","publish","0","2013-07-25 02:43:08","0","open","CP 047 10Kg Packing","no","no","visible","","instock","no","no","1176.00","","","","","","none","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2014/01/10Kg-Lotion-Base.jpg","simple","compounds","","","","","","","","","","10kg","0|1|0","","","","","","",""
"1Kg Lotion Base","1kg-lotion-base-3","1050","","Lotion Base","publish","0","2013-07-25 02:43:08","0","open","CP 047 1Kg Packing","no","no","visible","","instock","no","no","134.4","","","","","","none","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2014/01/1Kg-Lotion-Base.jpg","simple","compounds","","","","","","","","","","1kg","0|1|0","","","","","","",""
"10Kg Shampoo","10kg-shampoo-3","1052","","Shampoo","publish","0","2013-07-25 02:43:08","0","open","CP 049 10Kg Packing","no","no","visible","","instock","no","no","1176.00","","","","","","none","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2014/01/10Kg-Shampoo.jpg","simple","compounds","","","","","","","","","","10kg","0|1|0","","","","","","",""
"1Kg Shampoo","1kg-shampoo-3","1054","","Shampoo","publish","0","2013-07-25 02:43:08","0","open","CP 049 1Kg Packing","no","no","visible","","instock","no","no","134.4","","","","","","none","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2014/01/1Kg-Shampoo.jpg","simple","compounds","","","","","","","","","","1kg","0|1|0","","","","","","",""
"1Ltr Silicon","1ltr-silicon-3","1056","","Silicon","publish","0","2013-07-25 02:43:08","0","open","CP 035","no","no","visible","","instock","no","no","546.56","","","","","","none","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2014/01/1Ltr-Silicon.jpg","simple","compounds","","","","","","","","","","1Ltr","0|1|0","","","","","","",""
"50g Acrylic Curve Jar with Akok Cover","50ml-acrylic-curve-jar-with-akok-cover","2625","","Acrylic Curve Jar with Akok Cover","publish","0","2013-07-25 02:43:00","0","open","JA 001","no","no","visible","","instock","no","no","56","","","","","","none","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2014/01/50-Acrylic-Curve-Jar-with-Akok-Cover3.jpg","simple","jars","","","","","","","","","","","","","50g","0|1|0","","50ml","0|1|0",""
"50g Acrylic Curve Jar with Bio Cover","50ml-acrylic-curve-jar-with-bio-cover","2627","","Acrylic Curve Jar with Bio Cover","publish","0","2013-07-25 02:43:00","0","open","JA 002","no","no","visible","","instock","no","no","56","","","","","","none","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2014/01/50-Acrylic-Curve-Jar-with-Bio-Cover3.jpg","simple","jars","","","","","","","","","","","","","50g","0|1|0","","50ml","0|1|0",""
"20g Acrylic Jar","20ml-acrylic-jar","2629","","Acrylic Jar","publish","0","2013-07-25 02:43:00","0","open","JA 009","no","no","visible","","instock","no","no","11.2","","","","","","none","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2014/01/20-Acrylic-Jar3.jpg","simple","jars","","","","","","","","","","","","","20g","0|1|0","","20ml","0|1|0",""
"50g Acrylic Straight Jar with Bio Cover and Tray","50ml-acrylic-straight-jar-with-bio-cover-and-tray","2631","","Acrylic Straight Jar with Bio Cover and Tray","publish","0","2013-07-25 02:43:00","0","open","JA 006","no","no","visible","","instock","no","no","56","","","","","","none","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2014/01/50-Acrylic-Straight-Jar-with-Bio-Cover-and-Tray3.jpg","simple","jars","","","","","","","","","","","","","50g","0|1|0","","50ml","0|1|0",""
"30g Akok Jar with Akok Cover","30ml-akok-jar-with-akok-cover","2633","","Akok Jar with Akok Cover","publish","0","2013-07-25 02:43:00","0","open","JA 010","no","no","visible","","instock","no","no","13.44","","","","","","none","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2014/01/30-Akok-Jar-with-Akok-Cover3.jpg","simple","jars","","","","","","","","","","","","","30g","0|1|0","","30ml","0|1|0",""
