Product Code,Category,Size,Bottle,Cap, Price in Php ,size (ml),FILENAME USED,
GB 138,Glass Bottles,70,Teardrop Frosted,Pump Spray Fancy Silver Shiny,39.2,70ml,70-Teardrop Frosted-+-Pump Spray Fancy Silver Shiny,
GB 083,Glass Bottles,50,Tubular Frosted,Pump Spray Fancy Silver Shiny,33.6,50ml,50-Tubular Frosted-+-Pump Spray Fancy Silver Shiny,
GB 084,Glass Bottles,60,Tubular Frosted,Pump Spray Fancy Silver Shiny,33.6,60ml,60-Tubular Frosted-+-Pump Spray Fancy Silver Shiny,
GB 273,Glass Bottles,30,Clean,Pump Spray Fancy Silver Shiny,29.12,30ml,30-Clean-+-Pump Spray Fancy Silver Shiny,
GB 088,Glass Bottles,30,Volcano Frosted,Pump Spray Fancy Silver Shiny,35.84,30ml,30-Volcano Frosted-+-Pump Spray Fancy Silver Shiny,Phased-Out
GB 298,Glass Bottles,30,Rebecca,Pump Spray Fancy Silver Shiny,31.36,30ml,30-Rebecca-+-Pump Spray Fancy Silver Shiny,
GB 306,Glass Bottles,85,Tubular,Pump Spray Fancy Silver Shiny,33.6,85ml,85-Tubular-+-Pump Spray Fancy Silver Shiny,
GB 006,Glass Bottles,12,Round,Pump Spray Shroud,17.92,12ml,12-Round-+-Pump Spray Shroud,
GB 010,Glass Bottles,12,Round Frosted,Pump Spray Shroud,19.04,12ml,12-Round Frosted-+-Pump Spray Shroud,
GB 015,Glass Bottles,10,Round,Pump Spray Shroud,21.28,10ml,10-Round-+-Pump Spray Shroud,
GB 042,Glass Bottles,30,Test Tube Frosted,Pump Spray Shroud,24.64,30ml,30-Test Tube Frosted-+-Pump Spray Shroud,
GB 066,Glass Bottles,30,Crib Frosted,Pump Spray Shroud,31.36,30ml,30-Crib Frosted-+-Pump Spray Shroud,
GB 061,Glass Bottles,30,Tubular Slim,Pump Spray Shroud,29.12,30ml,30-Tubular Slim-+-Pump Spray Shroud,
GB 062,Glass Bottles,30,Cylindrical,Pump Spray Shroud,29.12,30ml,30-Cylindrical-+-Pump Spray Shroud,
GB 119,Glass Bottles,30,Hugo Frosted,Pump Spray Shroud,31.36,30ml,30-Hugo Frosted-+-Pump Spray Shroud,
GB 120,Glass Bottles,40,Hugo Frosted,Pump Spray Shroud,31.36,40ml,40-Hugo Frosted-+-Pump Spray Shroud,
GB 023,Glass Bottles,10,Round Frosted,Pump Spray Shroud,22.4,10ml,10-Round Frosted-+-Pump Spray Shroud,
GB 060,Glass Bottles,30,Round Frosted,Pump Spray Shroud,29.12,30ml,30-Round Frosted-+-Pump Spray Shroud,
GB 121,Glass Bottles,60,Hugo,Pump Spray Shroud,31.36,60ml,60-Hugo-+-Pump Spray Shroud,
GB 123,Glass Bottles,30,Sexy Frosted,Pump Spray Shroud,33.6,30ml,30-Sexy Frosted-+-Pump Spray Shroud,
GB 125,Glass Bottles,60,Clean,Pump Spray Shroud,33.6,60ml,60-Clean-+-Pump Spray Shroud,
GB 124,Glass Bottles,50,Sexy Frosted,Pump Spray Shroud,33.6,50ml,50-Sexy Frosted-+-Pump Spray Shroud,
GB 126,Glass Bottles,120,Sexy Frosted,Pump Spray Shroud,33.6,120ml,120-Sexy Frosted-+-Pump Spray Shroud,
GB 122,Glass Bottles,70,Teardrop Frosted,Pump Spray Shroud,31.36,70ml,70-Teardrop Frosted-+-Pump Spray Shroud,
GB 063,Glass Bottles,50,Tubular Frosted,Pump Spray Shroud,29.12,50ml,50-Tubular Frosted-+-Pump Spray Shroud,
GB 064,Glass Bottles,60,Tubular Frosted,Pump Spray Shroud,29.12,60ml,60-Tubular Frosted-+-Pump Spray Shroud,
GB 068,Glass Bottles,30,Volcano Frosted,Pump Spray Shroud,31.36,30ml,30-Volcano Frosted-+-Pump Spray Shroud,Phased-Out
GB 190,Glass Bottles,5,Duo,Screw Cap,5.6,5ml,5-Duo-+-Screw Cap,
GB 263,Glass Bottles,60,Round YL Frosted,Pump Spray Shroud,29.12,60ml,60-Round YL Frosted-+-Pump Spray Shroud,
GB 264,Glass Bottles,60,Round YL,Pump Spray Shroud,29.12,60ml,60-Round YL-+-Pump Spray Shroud,
GB 294,Glass Bottles,20,Amber Vial,Silicone Dropper,21.28,20ml,20-Amber Vial-+-Silicone Dropper,
GB 020,Glass Bottles,10,Round Roll-on,Silver Matte Cap,15.68,10ml,10-Round Roll-on-+-Silver Matte Cap,
GB 028,Glass Bottles,10,Round Roll-on Frosted,Silver Matte Cap,16.8,10ml,10-Round Roll-on Frosted-+-Silver Matte Cap,
GB 019,Glass Bottles,10,Round Roll-on,Silver Shiny Cap,13.44,10ml,10-Round Roll-on-+-Silver Shiny Cap,
GB 027,Glass Bottles,10,Round Roll-on Frosted,Silver Shiny Cap,14.56,10ml,10-Round Roll-on Frosted-+-Silver Shiny Cap,
GB 195,Glass Bottles,10,Square Black,Splash On Cap,9.24,10ml,10-Square Black-+-Splash On Cap,
GB 196,Glass Bottles,10,Square,Splash On Cap,9.24,10ml,10-Square-+-Splash On Cap,
GB 197,Glass Bottles,10,Square Frosted,Splash On Cap,9.24,10ml,10-Square Frosted-+-Splash On Cap,
