Product Code,Category,Size,Bottle,Cap, Price in Php ,FILENAME USED
PT 239,PET Bottles,10ml,LS,Pump Spray,11.2,10ml-LS-+-Pump Spray
PT 240,PET Bottles,120ml,Angelina,Aluminum Fake Cap,8.96,120ml-Angelina-+-Aluminum Fake Cap
PT 242,PET Bottles,120ml,Angelina,Aluminum Screw Pump,15.68,120ml-Angelina-+-Aluminum Screw Pump
PT 243,PET Bottles,120ml,Angelina,Ardent Fliptop Cap,9.52,120ml-Angelina-+-Ardent Fliptop Cap
PT 244,PET Bottles,120ml,Angelina,Ball Fliptop Cap,10.64,120ml-Angelina-+-Ball Fliptop Cap
PT 245,PET Bottles,120ml,Angelina,Disc Cap,10.64,120ml-Angelina-+-Disc Cap
PT 246,PET Bottles,120ml,Angelina,Gel Pump,13.44,120ml-Angelina-+-Gel Pump
PT 248,PET Bottles,120ml,Angelina,Lotion Pump Flat,13.44,120ml-Angelina-+-Lotion Pump Flat
PT 249,PET Bottles,120ml,Angelina,Mushroom Fliptop Cap,9.52,120ml-Angelina-+-Mushroom Fliptop Cap
PT 250,PET Bottles,120ml,Angelina,Mushroom Screw Cap,9.52,120ml-Angelina-+-Mushroom Screw Cap
PT 252,PET Bottles,120ml,Angelina,Pump Spray,12.88,120ml-Angelina-+-Pump Spray
PT 253,PET Bottles,120ml,Angelina,Pump Spray Fancy,24.64,120ml-Angelina-+-Pump Spray Fancy
PT 254,PET Bottles,120ml,Angelina,Pump Spray Shroud,19.04,120ml-Angelina-+-Pump Spray Shroud
PT 257,PET Bottles,120ml,Genie,Aluminum Fake Cap,9.52,120ml-Genie-+-Aluminum Fake Cap
PT 260,PET Bottles,120ml,Genie,Ardent Fliptop Cap,10.08,120ml-Genie-+-Ardent Fliptop Cap
PT 261,PET Bottles,120ml,Genie,Ball Fliptop Cap,11.2,120ml-Genie-+-Ball Fliptop Cap
PT 262,PET Bottles,120ml,Genie,Disc Cap,11.2,120ml-Genie-+-Disc Cap
PT 263,PET Bottles,120ml,Genie,Gel Pump,14.56,120ml-Genie-+-Gel Pump
PT 265,PET Bottles,120ml,Genie,Lotion Pump Flat,14.56,120ml-Genie-+-Lotion Pump Flat
PT 266,PET Bottles,120ml,Genie,Mushroom Fliptop Cap,10.08,120ml-Genie-+-Mushroom Fliptop Cap
PT 267,PET Bottles,120ml,Genie,Mushroom Screw Cap,10.08,120ml-Genie-+-Mushroom Screw Cap
PT 269,PET Bottles,120ml,Genie,Pump Spray,13.44,120ml-Genie-+-Pump Spray
PT 270,PET Bottles,120ml,Genie,Pump Spray Fancy,25.76,120ml-Genie-+-Pump Spray Fancy
PT 271,PET Bottles,120ml,Genie,Pump Spray Shroud,20.16,120ml-Genie-+-Pump Spray Shroud
PT 274,PET Bottles,120ml,Skin,Aluminum Fake Cap,8.96,120ml-Skin-+-Aluminum Fake Cap
PT 277,PET Bottles,120ml,Skin,Ardent Fliptop Cap,9.52,120ml-Skin-+-Ardent Fliptop Cap
PT 278,PET Bottles,120ml,Skin,Ball Fliptop Cap,10.64,120ml-Skin-+-Ball Fliptop Cap
PT 280,PET Bottles,120ml,Skin,Gel Pump,13.44,120ml-Skin-+-Gel Pump
